feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Corynebacterium_pseudogenitalium	Cohort	UTI only	0.089797495664211	0.0331377901859073	10001	1016	0.00674344054326965	0.0342657122342219
Finegoldia_magna	HORMONAL_MENOPAUSE	PD	-0.443136872559998	0.164555265686265	10001	3880	0.0070944049604079	0.0358774193712057
Prevotella_buccalis	RACE	BLACK	0.37550330946219	0.139901506024733	10001	4919	0.0072855222748529	0.0366693111653733
Peptoniphilus_lacrimalis	RACE	ASIAN-WHITE	0.321376057081822	0.12007672278113	10001	1597	0.00745343097518053	0.0373374702624609
Streptococcus_agalactiae	RACE	HISPANIC	-0.292186357152479	0.109573250588836	10001	1572	0.00767498279451565	0.0382668156233597
Peptostreptococcus_anaerobius	Cohort	BV&UTI	0.0990575041224783	0.0373338551320889	10001	1064	0.0079837846505999	0.0396204640137247
Streptococcus_constellatus	RACE	HISPANIC	-0.186939021402306	0.0707238274482164	10001	1075	0.00822486305361734	0.0406269979671703
Pichia_kudriavzevii	HORMONAL_MENOPAUSE	YE	0.147547953125445	0.0563697226423578	10001	1160	0.0088709185993718	0.0436153497802447
Lactobacillus_amylovorus	HORMONAL_MENOPAUSE	PD	-0.425677151687124	0.162824702040136	10001	4517	0.00895375079397145	0.043819738908745
Prevotella_corporis	Cohort	BV only	0.06141087396788	0.023537086628113	10001	1481	0.00909131659895811	0.0442888909545574
Candidatus_Lachnocurva_vaginae_.BVAB.1.	Cohort	UTI only	0.148845004478449	0.0571389829738262	10001	2801	0.00920201395673284	0.0444206310093194
Limosilactobacillus_vaginalis	Cohort	BV&UTI	0.111129243644792	0.0426474063557486	10001	3008	0.00918046551251415	0.0444206310093194
Streptococcus_agalactiae	RACE	WHITE	-0.252780053069237	0.097584017503983	10001	1572	0.0096008369826038	0.0461361487580327
Peptoniphilus_harei	HORMONAL_MENOPAUSE	YE	0.320065586595563	0.124927044633569	10001	2620	0.0104210810730383	0.0498521986466968
Gardnerella_spA	Cohort	UTI only	0.193604645290189	0.0759508202058731	10001	7946	0.0108156119376215	0.051507533084099
Escherichia_coli	HORMONAL_MENOPAUSE	NO	-0.242441331934278	0.0955172050105353	10001	2622	0.011157644419567	0.0526640816603562
Gardnerella_swidsinskii	BMI	BMI	-0.0581507365973764	0.0228962209755179	10001	9970	0.0111081263794929	0.0526640816603562
Streptococcus_agalactiae	AGE	AGE	0.0560071545735513	0.0221064525826141	10001	1572	0.0113074807921305	0.0531351531028431
Finegoldia_magna	Cohort	UTI only	0.155983760487433	0.0617188822060401	10001	3880	0.0115087727124747	0.0538428044962473
Streptococcus_agalactiae	RACE	BLACK-WHITE	-0.429619072727654	0.17037874289027	10001	1572	0.011699236882409	0.0544938138996419
Lactobacillus_amylovorus	RACE	BLACK-WHITE	0.488145835261712	0.194215976223102	10001	4517	0.011972392647649	0.0555226244183546
Porphyromonas_uenonis	RACE	BLACK-WHITE	-0.539184419156276	0.214878922636669	10001	5023	0.0121145768545771	0.0559377418241776
Lactobacillus_crispatus	Cohort	UTI only	0.249885030345882	0.0999821149633215	10001	9982	0.0124599213693604	0.0572832748669298
